index;produksi;lahan baru
1;246525;12011
2;268135;10027
3;296521;3468
4;317252;1566
5;270723;2305
6;277240;6232
7;334821;3190
8;377697;6951
9;405831;4846
10;299273;2798
11;162202;6226
12;133997;6565
13;276515;13295
14;337107;11267
15;350047;1263
16;286684;1138
17;328793;2006
18;257093;5823
19;441964;3763
20;593015;5339
21;525830;3378
22;569730;2830
23;350334;2571
24;216268;8866
25;206164;12143
26;339190;1182
27;288568;842
28;228509;1265
29;283017;3239
30;561990;4832
31;695668;2570
32;905990;3643
33;771504;3186
34;635702;2457
35;227200;1610
36;217475;9932
37;342340;11762
38;375443,64;12103,65
39;396938,2;2490,2
40;685120;1011
41;1003030;3928
42;953408;5108
43;852446,4;4390
44;787490;3530
45;511646,75;5204,25
46;315707;6458,09
47;264281,4;11769,01
48;361578;8955
