Hour	Yield(%)	Temperature
1	89	153
2	90.5	152
3	91.5	153
4	93.2	153
5	93.9	154
6	94.6	151
7	94.7	153
8	93.5	152
9	91.2	151
10	89.3	150
11	85.6	150
12	80.3	149
13	75.9	149
14	75.3	147
15	78.3	146
16	89.1	143
17	88.3	148
18	89.2	151
19	90.1	152
20	94.3	153
21	97.7	154
22	98.6	152
23	98.7	153
24	98.9	152
25	99.2	152
26	99.4	152
27	99.6	153
28	99.8	153
29	98.8	154
30	99.9	154
31	98.2	153
32	98.7	153
33	97.5	154
34	97.9	152
35	98.3	152
36	98.8	151
37	99.1	150
38	99.2	149
39	98.6	148
40	95.3	147
41	94.2	146
42	91.3	148
43	90.6	145
44	91.2	143
45	88.3	145
46	84.1	150
47	86.5	147
48	88.2	150
49	89.5	151
50	89.5	152
